2020-08-17 12:11:45 INFO  [springAppName_IS_UNDEFINED,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$fb8dcd06] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-08-17 12:11:46 INFO  [THXU-Gateway,,,] main com.kk.thxu.gateway.ThxuGatewayApplication No active profile set, falling back to default profiles: default
2020-08-17 12:11:46 INFO  [THXU-Gateway,,,] main org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2020-08-17 12:11:46 INFO  [THXU-Gateway,,,] main org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data repositories in DEFAULT mode.
2020-08-17 12:11:46 INFO  [THXU-Gateway,,,] main org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 13ms. Found 0 repository interfaces.
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.springframework.cloud.context.scope.GenericScope BeanFactory id=f224cf15-ce94-3713-b0cb-3e9a4d382af9
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$fb8dcd06] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 8301 (http)
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-8301"]
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.apache.catalina.core.StandardService Starting service [Tomcat]
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.21]
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 1649 ms
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-17 12:11:47 INFO  [THXU-Gateway,,,] main com.netflix.config.DynamicPropertyFactory DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3290b1a6
2020-08-17 12:11:49 INFO  [THXU-Gateway,,,] main org.springframework.boot.actuate.endpoint.web.ServletEndpointRegistrar Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2020-08-17 12:11:49 INFO  [THXU-Gateway,,,] main org.springframework.boot.actuate.endpoint.web.ServletEndpointRegistrar Registered '/actuator/hystrix.stream' to hystrix.stream-actuator-endpoint
2020-08-17 12:11:49 INFO  [THXU-Gateway,,,] main org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration 

Using generated security password: 3c2bb169-143b-443e-b58a-7f69ad0aa8f3

2020-08-17 12:11:49 INFO  [THXU-Gateway,,,] main org.springframework.security.web.DefaultSecurityFilterChain Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@ceb7701, org.springframework.security.web.context.SecurityContextPersistenceFilter@42a0786f, org.springframework.security.web.header.HeaderWriterFilter@37e7c4cc, org.springframework.security.web.authentication.logout.LogoutFilter@27e199ce, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@203e705e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@629075f4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5e193ef5, org.springframework.security.web.session.SessionManagementFilter@45c80312, org.springframework.security.web.access.ExceptionTranslationFilter@16681017]
2020-08-17 12:11:49 INFO  [THXU-Gateway,,,] main com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-17 12:11:50 INFO  [THXU-Gateway,,,] main org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2020-08-17 12:11:50 INFO  [THXU-Gateway,,,] main org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler Initializing ExecutorService
2020-08-17 12:11:50 INFO  [THXU-Gateway,,,] main org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver Exposing 23 endpoint(s) beneath base path '/actuator'
2020-08-17 12:11:50 INFO  [THXU-Gateway,,,] main org.springframework.cloud.netflix.zuul.ZuulFilterInitializer Starting filter initializer
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main org.springframework.cloud.netflix.eureka.InstanceInfoFactory Setting initial instance status as: STARTING
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.DiscoveryClient Initializing Eureka in region us-east-1
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON encoding codec LegacyJacksonJson
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using JSON decoding codec LegacyJacksonJson
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML encoding codec XStreamXml
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.provider.DiscoveryJerseyProvider Using XML decoding codec XStreamXml
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver Resolving eureka endpoints via configuration
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.DiscoveryClient Disable delta property : false
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.DiscoveryClient Single vip registry refresh property : null
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.DiscoveryClient Force full registry fetch : false
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.DiscoveryClient Application is null : false
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.DiscoveryClient Registered Applications size is zero : true
2020-08-17 12:11:51 INFO  [THXU-Gateway,,,] main com.netflix.discovery.DiscoveryClient Application version is -1: true
